Date,Open,High,Low,Close,Adj Close,Volume
2021-04-28,239.0,239.649994,232.850006,235.460007,235.460007,19054100
2021-04-29,237.0,237.679993,231.800003,235.940002,235.940002,12296100
2021-04-30,233.679993,236.770004,232.699997,234.309998,234.309998,10380400
2021-05-03,234.110001,237.100006,233.809998,235.190002,235.190002,9887800
2021-05-04,235.75,236.649994,225.649994,233.630005,233.630005,17807200
2021-05-05,232.449997,233.490005,227.559998,228.179993,228.179993,14913500
2021-05-06,229.300003,231.169998,226.550003,229.809998,229.809998,11857100
2021-05-07,229.800003,235.910004,227.990005,235.470001,235.470001,12823000
2021-05-10,236.839996,241.100006,232.5,232.929993,232.929993,14813900
2021-05-11,226.559998,230.130005,223.850006,228.880005,228.880005,16273200
2021-05-12,227.25,229.740005,220.630005,220.779999,220.779999,14931200
2021-05-13,223.0,229.270004,219.070007,222.639999,222.639999,16503400
2021-05-14,225.990005,228.809998,224.350006,228.470001,228.470001,10162400
2021-05-17,226.240005,228.259995,223.580002,227.979996,227.979996,9559300
2021-05-18,227.25,232.270004,226.429993,227.550003,227.550003,10081100
2021-05-19,223.179993,225.119995,220.279999,224.419998,224.419998,13162700
2021-05-20,225.130005,228.440002,223.770004,227.649994,227.649994,9218900
2021-05-21,232.899994,236.300003,231.389999,234.820007,234.820007,16579000
2021-05-24,235.139999,238.5,232.600006,237.440002,237.440002,10106000
2021-05-25,240.0,243.779999,239.229996,240.740005,240.740005,12908000
2021-05-26,241.699997,242.490005,239.869995,241.369995,241.369995,7240200
2021-05-27,248.110001,252.600006,247.190002,250.699997,250.699997,18404400
2021-05-28,247.479996,248.979996,245.369995,247.020004,247.020004,11197400
2021-06-01,253.0,255.639999,251.520004,254.729996,254.729996,13562800
2021-06-02,255.600006,258.399994,254.619995,255.619995,255.619995,10820400
2021-06-03,252.979996,254.800003,249.690002,250.320007,250.320007,10402000
2021-06-04,251.509995,251.800003,248.490005,249.919998,249.919998,8799000
2021-06-07,251.5,253.199997,248.809998,252.660004,252.660004,10606000
2021-06-08,256.26001,256.309998,250.0,252.759995,252.759995,15113900
2021-06-09,251.199997,253.169998,247.910004,248.059998,248.059998,10693200
2021-06-10,251.720001,255.139999,248.100006,248.339996,248.339996,14519200
2021-06-11,250.350006,251.119995,245.779999,247.279999,247.279999,9934200
2021-06-14,246.440002,249.199997,244.399994,245.139999,245.139999,9344400
2021-06-15,245.360001,248.509995,244.940002,246.539993,246.539993,10630900
2021-06-16,245.25,246.059998,241.550003,242.270004,242.270004,10529200
2021-06-17,241.960007,243.5,237.330002,239.220001,239.220001,10774400
2021-06-18,237.789993,239.309998,235.800003,237.350006,237.350006,11965000
2021-06-21,238.660004,245.619995,237.25,245.279999,245.279999,15301800
2021-06-22,244.5,244.630005,241.080002,243.779999,243.779999,10042500
2021-06-23,244.800003,246.869995,243.169998,243.570007,243.570007,9874700
2021-06-24,245.199997,250.740005,243.699997,250.570007,250.570007,13755600
2021-06-25,250.75,252.300003,248.25,248.380005,248.380005,9625800
2021-06-28,244.729996,245.080002,238.880005,239.960007,239.960007,18152000
2021-06-29,243.740005,244.369995,235.660004,235.759995,235.759995,16743900
2021-06-30,236.240005,241.169998,236.0,239.559998,239.559998,12089100
2021-07-01,240.360001,241.800003,238.610001,239.729996,239.729996,9516200
2021-07-02,239.550003,240.110001,233.470001,236.679993,236.679993,15706600
